parent_type,parent_id,parent_label,relationship,child_type,child_id,child_label
provision,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2-6,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2-6,has_sub_provision,provision,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2-6-b,b
provision,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2-6,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2-6,has_sub_provision,provision,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2-6-c,c
provision,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-aa-new-dwellinghouses-on-detached-buildings-in-commercial-or-mixed-use_paragraph-AA.2-7,7
part,PART 20,PART 20,has_class,class_block,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use
class_block,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use,has_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,AB
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-1,1
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-1-a,a
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-1-b,b
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2,2
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-a,a
